Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Sowing month,Harvesting month,E,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Silt loam,Initial year of NT practice ( or first year of experiment if missing),Years since NT started (yrs),Residue management of previous crop in NT (details),Water applied in NT,Fertilization NT_No,Fertilization NT_Yes,Irrigation NT_No,Irrigation NT_Yes,Yield of NT
24.38,90.13,21,2008,37,0,6,9,373.6813276,32.45272624,26.20539511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008,1,109,0,0.0,1.0,0.0,1.0,7014.0
24.38,90.13,21,2009,37,0,6,9,414.1735998,34.45892741,26.81484375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008,2,10,0,0.0,1.0,0.0,1.0,7233.0
24.38,90.13,21,2010,37,0,6,9,417.0355925,33.38662424,26.53099162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008,3,10,0,0.0,1.0,0.0,1.0,7631.0
40.16,16.65,100,2009,31,0,11,7,673.444,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2009,1,109,0,1.0,0.0,1.0,0.0,4700.0
40.16,16.65,100,2009,31,140,11,7,673.444,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,1,109,0,0.0,1.0,1.0,0.0,5900.0
40.16,16.65,100,2009,31,186,11,7,673.444,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,1,109,0,0.0,1.0,1.0,0.0,5300.0
40.16,16.65,100,2009,31,186,11,7,673.444,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,1,109,0,0.0,1.0,1.0,0.0,5100.0
40.16,16.65,100,2010,31,0,11,7,684.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2009,2,109,0,1.0,0.0,1.0,0.0,5200.0
40.16,16.65,100,2010,31,140,11,7,684.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,2,109,0,0.0,1.0,1.0,0.0,4800.0
40.16,16.65,100,2010,31,186,11,7,684.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,2,109,0,0.0,1.0,1.0,0.0,5500.0
40.16,16.65,100,2010,31,186,11,7,684.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,2,109,0,0.0,1.0,1.0,0.0,5800.0
40.16,16.65,100,2011,31,0,11,7,702.472,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2009,3,109,0,1.0,0.0,1.0,0.0,6500.0
40.16,16.65,100,2011,31,140,11,7,702.472,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,3,109,0,0.0,1.0,1.0,0.0,6900.0
40.16,16.65,100,2011,31,186,11,7,702.472,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,3,109,0,0.0,1.0,1.0,0.0,6700.0
40.16,16.65,100,2011,31,186,11,7,702.472,28.2099,2.61107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,3,109,0,0.0,1.0,1.0,0.0,6300.0
45.42,-73.93,92,2002,73,187,5,10,493.022,26.54872,0.79462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2001,2,73,0,0.0,1.0,0.0,1.0,5340.0
45.42,-73.93,92,2002,73,0,5,10,493.022,26.54872,0.79462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2001,2,73,0,1.0,0.0,0.0,1.0,1950.0
45.42,-73.93,92,2003,73,187,5,10,484.948,26.13306,2.31443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2001,3,73,0,0.0,1.0,0.0,1.0,7910.0
45.42,-73.93,92,2003,73,0,5,10,484.948,26.13306,2.31443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2001,3,73,0,1.0,0.0,0.0,1.0,2840.0
45.42,-73.93,92,2002,73,0,6,10,411.484,26.54872,0.79462,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2001,2,109,0,0.0,1.0,0.0,1.0,2220.0
45.42,-73.93,92,2003,73,0,6,10,399.759,26.13306,2.31443,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2001,3,109,0,0.0,1.0,0.0,1.0,3150.0
