Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
24.38,90.13,21,2010,37,0,0.035,6,9,417.0355925,359.364,33.38662424,26.53099162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,9086.0
24.38,90.13,21,2008,37,0,-0.1638,6,9,373.6813276,937.019,32.45272624,26.20539511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8388.0
24.38,90.13,21,2009,37,0,-0.1578,6,9,414.1735998,515.926,34.45892741,26.81484375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8588.0
24.38,90.13,21,2010,37,0,-0.1276,6,9,417.0355925,359.364,33.38662424,26.53099162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8747.0
40.16,16.65,100,2009,31,0,0.093,11,7,673.444,39.956,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,4300.0
40.16,16.65,100,2009,31,140,0.475,11,7,673.444,39.956,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,4000.0
40.16,16.65,100,2009,31,186,0.4324,11,7,673.444,39.956,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,3700.0
40.16,16.65,100,2009,31,186,0.3784,11,7,673.444,39.956,26.44987,3.87631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,3700.0
40.16,16.65,100,2010,31,0,0.0196,11,7,684.918,-127.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,5100.0
40.16,16.65,100,2010,31,140,-0.0943,11,7,684.918,-127.918,26.24189,4.88006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,5300.0
