Crop growing season recorded in the paper,Crop sequence (details)_1,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,E,Fertilization CT _No,Fertilization CT _Yes,Fertilization NT_No,Fertilization NT_Yes,Harvest year,Harvesting month,Initial year of NT practice ( or first year of experiment if missing),Irrigation CT_No,Irrigation CT_Yes,Irrigation NT_No,Irrigation NT_Yes,Journal,Latitude,Longitude,N input rates with the unit kg N ha-1 (details),N input_No,N input_Yes,PB,Relative yield change,Residue management of previous crop in NT (details),ST_Clay loam,ST_Silt loam,Soil cover in NT_No,Soil cover in NT_Yes,Soil information recorded in the paper,Sowing month,Sowing year,Tmax,Tmin,Water applied in CT,Water applied in NT,Year,Years since NT started (yrs),Yield increase with NT_Yes,Yield of CT,Yield of NT
73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,476.438,1.0,0.0,1.0,0.0,1991,10,1990,0.0,1.0,0.0,1.0,33,47.46,-99.12,0,1.0,0.0,-129.338,0.1008,109,0.0,0.0,0.0,1.0,86,5,1991,29.3754,-2.51616,0,0,13,2,1.0,2380.0,2620.0
73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,476.438,1.0,0.0,1.0,0.0,1991,10,1990,0.0,1.0,0.0,1.0,33,47.46,-99.12,0,1.0,0.0,-129.338,-0.0688,109,0.0,0.0,0.0,1.0,86,5,1991,29.3754,-2.51616,0,0,13,2,0.0,2760.0,2570.0
73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,476.438,1.0,0.0,1.0,0.0,1991,10,1990,0.0,1.0,0.0,1.0,33,47.46,-99.12,0,1.0,0.0,-129.338,-0.087,109,0.0,0.0,0.0,1.0,86,5,1991,29.3754,-2.51616,0,0,13,2,0.0,2760.0,2520.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,373.6813276,0.0,1.0,0.0,1.0,2009,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,937.019,-0.0851,109,0.0,0.0,0.0,1.0,21,6,2008,32.45272624,26.20539511,0,0,34,1,0.0,8189.0,7492.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.1735998,0.0,1.0,0.0,1.0,2010,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,515.926,-0.0845,10,0.0,0.0,0.0,1.0,21,6,2009,34.45892741,26.81484375,0,0,34,2,0.0,8488.0,7771.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0355925,0.0,1.0,0.0,1.0,2011,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,359.364,-0.0703,10,0.0,0.0,0.0,1.0,21,6,2010,33.38662424,26.53099162,0,0,34,3,0.0,8508.0,7910.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,373.6813276,0.0,1.0,0.0,1.0,2009,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,937.019,-0.0748,109,0.0,0.0,0.0,1.0,21,6,2008,32.45272624,26.20539511,0,0,34,1,0.0,9066.0,8388.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.1735998,0.0,1.0,0.0,1.0,2010,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,515.926,-0.0819,10,0.0,0.0,0.0,1.0,21,6,2009,34.45892741,26.81484375,0,0,34,2,0.0,9245.0,8488.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0355925,0.0,1.0,0.0,1.0,2011,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,359.364,0.035,10,0.0,0.0,0.0,1.0,21,6,2010,33.38662424,26.53099162,0,0,34,3,1.0,9086.0,9404.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,373.6813276,0.0,1.0,0.0,1.0,2009,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,937.019,-0.1638,109,0.0,0.0,0.0,1.0,21,6,2008,32.45272624,26.20539511,0,0,34,1,0.0,8388.0,7014.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.1735998,0.0,1.0,0.0,1.0,2010,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,515.926,-0.1578,10,0.0,0.0,0.0,1.0,21,6,2009,34.45892741,26.81484375,0,0,34,2,0.0,8588.0,7233.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0355925,0.0,1.0,0.0,1.0,2011,9,2008,0.0,1.0,0.0,1.0,105,24.38,90.13,0,1.0,0.0,359.364,-0.1276,10,0.0,0.0,0.0,1.0,21,6,2010,33.38662424,26.53099162,0,0,34,3,0.0,8747.0,7631.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,673.444,1.0,0.0,1.0,0.0,2010,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,0,1.0,0.0,39.956,0.093,109,0.0,0.0,1.0,0.0,100,11,2009,26.44987,3.87631,0,0,35,1,1.0,4300.0,4700.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,673.444,0.0,1.0,0.0,1.0,2010,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,140,0.0,1.0,39.956,0.475,109,0.0,0.0,1.0,0.0,100,11,2009,26.44987,3.87631,0,0,35,1,1.0,4000.0,5900.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,673.444,0.0,1.0,0.0,1.0,2010,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,39.956,0.4324,109,0.0,0.0,1.0,0.0,100,11,2009,26.44987,3.87631,0,0,35,1,1.0,3700.0,5300.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,673.444,0.0,1.0,0.0,1.0,2010,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,39.956,0.3784,109,0.0,0.0,1.0,0.0,100,11,2009,26.44987,3.87631,0,0,35,1,1.0,3700.0,5100.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,684.918,1.0,0.0,1.0,0.0,2011,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,0,1.0,0.0,-127.918,0.0196,109,0.0,0.0,1.0,0.0,100,11,2010,26.24189,4.88006,0,0,35,2,1.0,5100.0,5200.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,684.918,0.0,1.0,0.0,1.0,2011,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,140,0.0,1.0,-127.918,-0.0943,109,0.0,0.0,1.0,0.0,100,11,2010,26.24189,4.88006,0,0,35,2,0.0,5300.0,4800.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,684.918,0.0,1.0,0.0,1.0,2011,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,-127.918,0.0577,109,0.0,0.0,1.0,0.0,100,11,2010,26.24189,4.88006,0,0,35,2,1.0,5200.0,5500.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,684.918,0.0,1.0,0.0,1.0,2011,7,2009,1.0,0.0,1.0,0.0,16,40.16,16.65,186,0.0,1.0,-127.918,0.2609,109,0.0,0.0,1.0,0.0,100,11,2010,26.24189,4.88006,0,0,35,2,1.0,4600.0,5800.0
